# guk-exim
# path                  cores messages/sec/core real    user/message sys/message idle/message 
named/stock-metis/model-hugetlb/cores-44 44    0.00392056    5.79694 138.8    21.81   119.72   
named/stock-metis/model-hugetlb/cores-48 48    0.00367871    5.66322 139.73   30.17   134.16   


# stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16
# path                                                                                         cores queries/sec/core real    user/query  sys/query   idle/query  
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-1  1     22676            15.021  4.18653e-05 6.1653e-07  1.58536e-06 
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-4  4     22425.5          15.0256 4.21643e-05 8.68066e-07 1.63226e-06 
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-8  8     21639.6          15.0222 4.3663e-05  9.84388e-07 1.80343e-06 
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-12 12    20818.2          15.0293 4.53417e-05 9.90785e-07 1.93895e-06 
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-16 16    20246.8          15.0326 4.66592e-05 1.12736e-06 1.87893e-06 
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-20 20    19686.4          15.0199 4.80455e-05 1.15831e-06 1.89727e-06 
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-24 24    19332.3          15.0311 4.88825e-05 1.26325e-06 1.87122e-06 
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-28 28    18290.1          15.0222 5.1765e-05  1.36354e-06 1.84318e-06 
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-32 32    16813.3          15.0315 5.63696e-05 1.66557e-06 1.79911e-06 
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-36 36    12321.2          15.0178 6.30697e-05 1.65477e-05 1.97857e-06 
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-40 40    4137.94          15.0181 5.46875e-05 0.000181236 7.97744e-06 
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-44 44    2830.17          15.014  5.7187e-05  0.000272087 2.98237e-05 
named/stock-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-48 48    2238.11          15.0155 6.92082e-05 0.000322254 6.36785e-05 


# stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024
# path                                                                                         cores queries/sec/core real    user/query  sys/query   idle/query  
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-1  1     22355.7          15.024  4.24864e-05 6.84785e-07 1.57798e-06 
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-4  4     21949.9          15.0421 4.31593e-05 8.40471e-07 1.71123e-06 
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-8  8     21012.7          15.0403 4.47851e-05 1.15888e-06 1.91829e-06 
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-12 12    20531.8          15.0271 4.6081e-05  1.04527e-06 1.82585e-06 
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-16 16    19962.2          15.0384 4.73643e-05 1.12841e-06 1.83628e-06 
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-20 20    19576.9          15.0391 4.84122e-05 1.10726e-06 1.79676e-06 
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-24 24    19044.9          15.042  4.97718e-05 1.17666e-06 1.85444e-06 
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-28 28    18492.6          15.0284 5.12233e-05 1.29793e-06 1.9212e-06  
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-32 32    17927.1          15.0275 5.26714e-05 1.6031e-06  1.8351e-06  
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-36 36    12804            15.0328 5.57129e-05 2.08464e-05 1.98722e-06 
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-40 40    3832.64          15.0191 5.32506e-05 0.000203604 6.089e-06   
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-44 44    2770.32          15.0153 5.82863e-05 0.000281094 2.6914e-05  
named/stock-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-48 48    2042.44          15.0166 6.15208e-05 0.000359174 8.04994e-05 


# stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16
# path                                                                                         cores queries/sec/core real    user/query  sys/query   idle/query  
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-1  1     20798.2          15.029  4.57489e-05 7.67813e-07 1.56762e-06 
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-4  4     20222.4          15.0201 4.6849e-05  9.62988e-07 1.7449e-06  
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-8  8     19497.1          15.0254 4.83869e-05 1.13927e-06 2.02252e-06 
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-12 12    18527.2          15.0247 5.08714e-05 1.26034e-06 2.11952e-06 
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-16 16    18175.9          15.0159 5.17056e-05 1.40147e-06 2.14343e-06 
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-20 20    17321.2          15.0206 5.41827e-05 1.54319e-06 2.31575e-06 
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-24 24    16932.8          15.0223 5.55163e-05 1.59217e-06 2.23428e-06 
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-28 28    15954.8          15.0247 5.88555e-05 1.81614e-06 2.32865e-06 
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-32 32    13574.5          15.0203 6.80996e-05 2.20858e-06 3.78416e-06 
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-36 36    11617.9          15.0208 7.99714e-05 3.82976e-06 2.74896e-06 
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-40 40    6902.2           15.0163 9.58338e-05 2.84093e-05 2.26807e-05 
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-44 44    4090.82          15.0214 0.000103148 0.000116884 2.76315e-05 
named/stock-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-48 48    2522.03          15.0188 0.000102511 0.000254062 4.61021e-05 


# stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024
# path                                                                                         cores queries/sec/core real    user/query  sys/query   idle/query  
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-1  1     20684.2          15.0238 4.59846e-05 7.40131e-07 1.67334e-06 
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-4  4     19830.1          15.0353 4.77358e-05 9.13964e-07 1.97047e-06 
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-8  8     19063.3          15.0209 4.96424e-05 1.15244e-06 1.88582e-06 
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-12 12    18603.3          15.0194 5.09853e-05 1.14825e-06 1.87299e-06 
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-16 16    18309.5          15.0417 5.16579e-05 1.19596e-06 2.04244e-06 
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-20 20    17594.3          15.0333 5.37068e-05 1.37429e-06 2.01701e-06 
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-24 24    17143.7          15.0231 5.51281e-05 1.30233e-06 2.23094e-06 
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-28 28    16408.3          15.0217 5.73342e-05 1.52286e-06 2.46035e-06 
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-32 32    15814.6          15.0274 5.92422e-05 1.72521e-06 2.81661e-06 
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-36 36    14053.3          15.0191 6.16546e-05 6.94483e-06 3.46254e-06 
