spec_int1992_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,008_espresso,022_li,023_eqntott,026_compress,072_sc,085_gcc,link
169,716,,Pyramid,150,140.0,151.9,110.2,139.2,171.9,88.8,298.0,107.7,http://performance.netlib.org/performance/html/spec.pyrmid3.cint92.9_95.notes.html#{Pyramid Technology Corporation NILE 100/200 MHz MIPS R4400}
170,716,,Pyramid,NILE 100,128.1,146.0,108.6,124.2,154.9,85.2,300.0,82.7,http://performance.netlib.org/performance/html/spec.pyr100.cint92.12_94.notes.html#{Pyramid Technology Corporation NILE 100 100/200 MHz R4400}
171,711,,SNI,RM600-320/340,131.9,140.6,106.6,132.7,159.4,73.9,304.0,104.0,http://performance.netlib.org/performance/html/spec.sn6320.cint92.3_95.notes.html#{Siemens Nixdorf Informationssysteme RM600 Model 320/340 100/200MHz R4400MC}
172,711,,SNI,RM400-630,133.0,140.7,106.6,132.7,157.1,75.5,314.6,105.0,http://performance.netlib.org/performance/html/spec.sn4630.cint92.3_95.notes.html#{Siemens Nixdorf Informationssysteme RM400 Model 630 100/200MHz R4400MC}
173,711,,SNI,RM400-730,131.9,141.7,105.6,129.9,157.1,75.5,308.2,104.8,http://performance.netlib.org/performance/html/spec.sn4730.cint92.3_95.notes.html#{Siemens Nixdorf Informationssysteme RM400 Model 730 100/200MHz R4400MC}
174,711,,SNI,RM600-320/340,132.1,143.7,106.1,131.8,159.4,73.7,314.6,102.8,http://performance.netlib.org/performance/html/spec.sni632_1.cint92.6_95.notes.html#{Siemens Nixdorf Informationssysteme RM600 Model 320/340 100/200MHz R4400MC}
175,711,,SNI,Model C60,127.9,140.9,108.1,131.8,146.7,72.7,288.5,99.8,http://performance.netlib.org/performance/html/spec.sni44c60.cint92.12_95.notes.html#{Siemens Nixdorf Informationssysteme RM 300 Model C60 200MHz R4400MC}
176,711,,SNI,Model C70,138.9,150.7,108.6,131.8,161.8,85.0,330.7,110.5,http://performance.netlib.org/performance/html/spec.sni440_1.cint92.12_95.notes.html#{Siemens Nixdorf Informationssysteme RM 400 Model C70 200MHz R4400MC}
177,712,,SNI,RM600-420,165.1,181.3,135.1,162.6,193.0,93.0,408.1,126.1,http://performance.netlib.org/performance/html/spec.sni420_1.cint92.12_95.notes.html#{Siemens Nixdorf Informationssysteme RM600 Model 420 250MHz R4400MC}
178,713,,SNI,RM400-220,58.6,61.8,55.0,70.6,74.3,34.1,78.9,52.0,http://performance.netlib.org/performance/html/spec.sn400220.cint92.6_94.notes.html#{Siemens Nixdorf Informationssysteme RM400 Model 220 50/100MHz R4400SC}
179,713,,SNI,RM400-220,63.7,68.2,55.0,70.6,74.3,34.1,130.9,52.0,http://performance.netlib.org/performance/html/spec.sni4220.cint92.12_94.notes.html#{Siemens Nixdorf Informationssysteme RM400 Model 220 50/100MHz R4400SC}
180,713,,SNI,RM400-330/340,61.5,64.3,55.2,71.2,80.3,39.9,85.5,50.2,http://performance.netlib.org/performance/html/spec.sn400330.cint92.6_94.notes.html#{Siemens Nixdorf Informationssysteme RM400 Model 330/340 50/100MHz R4400SC}
181,713,,SNI,RM400-330/340,67.7,71.4,55.2,71.2,80.3,39.9,152.5,50.2,http://performance.netlib.org/performance/html/spec.sni4330.cint92.12_94.notes.html#{Siemens Nixdorf Informationssysteme RM400 Model 330/340 50/100MHz R4400SC}
182,714,,SNI,RM400-420,79.2,83.4,78.8,102.1,101.9,45.8,108.6,60.5,http://performance.netlib.org/performance/html/spec.sn400420.cint92.6_94.notes.html#{Siemens Nixdorf Informationssysteme RM400 Model 420 75/150MHz R4400SC}
183,714,,SNI,RM400-420,87.1,92.0,78.8,102.1,101.9,45.8,191.9,60.5,http://performance.netlib.org/performance/html/spec.sni4420.cint92.12_94.notes.html#{Siemens Nixdorf Informationssysteme RM400 Model 420 75/150MHz R4400SC}
184,714,,SNI,RM400-430/440,85.1,90.7,76.2,102.5,111.1,54.0,116.5,69.5,http://performance.netlib.org/performance/html/spec.sn400430.cint92.6_94.notes.html#{Siemens Nixdorf Informationssysteme RM400 Model 430/440 75/150MHz R4400SC}
185,714,,SNI,RM400-430/440,94.0,100.4,76.2,102.5,111.1,54.0,211.7,69.5,http://performance.netlib.org/performance/html/spec.sni4430.cint92.12_94.notes.html#{Siemens Nixdorf Informationssysteme RM400 Model 430/440 75/150MHz R4400SC}
186,714,,DDE,Supermax 4/4001,77.2,82.6,79.4,98.4,74.8,37.6,200.4,48.1,http://performance.netlib.org/performance/html/spec.dan4400.cint92.12_94.notes.html#{Dansk Data Elektronik A/S Supermax 75/150MHz R4400SC}
187,714,,SNI,RM400-530/540,92.1,97.5,80.8,102.8,120.9,63.2,127.2,75.3,http://performance.netlib.org/performance/html/spec.sn40-530.cint92.6_94.notes.html#{Siemens Nixdorf Informationssysteme RM400 Model 530/540 75/150MHz R4400SC}
188,714,,SNI,RM400-530/540,101.6,108.7,80.8,102.8,120.9,63.2,229.9,75.3,http://performance.netlib.org/performance/html/spec.sni4530.cint92.12_94.notes.html#{Siemens Nixdorf Informationssysteme RM400 Model 530/540 75/150MHz R4400SC}
189,715,,Silicon Graphics,R4400 175MHz,81.0,84.9,76.7,105.8,85.9,41.5,179.8,54.3,http://performance.netlib.org/performance/html/spec.sg44175.cint92.3_95.notes.html#{Silicon Graphics Indy 175MHz MIPS R4400SC}
190,716,,SGI,None,110.1,119.5,107.1,126.2,114.6,81.2,139.0,101.9,http://performance.netlib.org/performance/html/spec.sgiind1.cint92.12_94.notes.html#{Silicon Graphics Indigo2 Extreme 200MHz MIPS R4400SC}
191,716,,Silicon Graphics,R4400 200MHz,130.1,140.2,108.6,137.1,114.6,84.2,321.3,105.2,http://performance.netlib.org/performance/html/spec.sg442001.cint92.3_95.notes.html#{Silicon Graphics Indigo2 200MHz MIPS R4400SC}
192,717,,SNI,RM200-120/125,65.7,70.0,61.9,81.6,96.5,36.9,88.0,51.0,http://performance.netlib.org/performance/html/spec.sn200120.cint92.9_94.notes.html#{Siemens Nixdorf Informationssysteme RM200 Model 120/125 50/100 MHz R4600}
193,717,,SNI,RM200-120/125,71.5,76.3,61.9,81.6,96.5,36.9,145.7,51.0,http://performance.netlib.org/performance/html/spec.sni200.cint92.12_94.notes.html#{Siemens Nixdorf Informationssysteme RM200 Model 120/125 50/100 MHz R4600}
194,718,,SNI,RM400-225; RM200-220/225,85.6,91.7,78.0,101.8,114.6,42.2,175.6,58.3,http://performance.netlib.org/performance/html/spec.sn4225_1.cint92.3_95.notes.html#{Siemens Nixdorf Informationssysteme RM400-225; RM200-220/225 133MHz R4600}
195,718,,SNI,RM200-C20; RM300-C20,97.5,104.6,82.2,108.8,129.4,53.0,205.9,68.0,http://performance.netlib.org/performance/html/spec.sni4600.cint92.12_95.notes.html#{Siemens Nixdorf Informationssysteme RM 200 and RM300 Model C20 133MHz R4600}
196,718,,Silicon Graphics,R4600PC 133MHz,81.0,84.9,76.7,105.8,85.9,41.5,179.8,54.3,http://performance.netlib.org/performance/html/spec.sg461332.cint92.3_95.notes.html#{Silicon Graphics Indy 133MHz R4600PC}
197,720,,Silicon Graphics,R4600SC 133MHz,105.1,113.5,91.5,123.2,102.8,57.3,246.2,82.4,http://performance.netlib.org/performance/html/spec.sg46133.cint92.3_95.notes.html#{Silicon Graphics Indigo2 133MHz R4600SC}
198,725,,SGI,POWER CHALLENGE,102.6,111.7,80.8,87.2,127.9,77.8,191.1,86.9,http://performance.netlib.org/performance/html/spec.sgipc.cint92.9_94.notes.html#{Silicon Graphics Inc. POWER CHALLENGE 75 MHz R8000}
199,738,,Sun,SPARCstation 20 Model HS II,94.5,104.5,95.0,106.9,139.2,52.8,125.8,75.9,http://performance.netlib.org/performance/html/spec.sunsparc.cint92.12_94.notes.html#{Sun Microsystems Inc. SPARCstation 20 Model HS II 100MHz Hyper SPARC}
200,738,,PFU,S-4/20L model 100,104.2,111.7,94.2,100.0,169.2,53.6,208.8,71.7,http://performance.netlib.org/performance/html/spec.fujts400.cint92.6_95.notes.html#{Fujitsu Limited S-4/20L model 100 100MHz hyperSPARC}
201,739,,PFU,S-4/20H model 125,124.3,132.2,117.6,125.7,196.4,59.8,251.7,84.3,http://performance.netlib.org/performance/html/spec.fujts425.cint92.6_95.notes.html#{Fujitsu Limited S-4/20H model 125 125MHz hyperSPARC}
202,739,,Sun,SPARCstation/server 20 Model HS21,122.4,131.2,118.8,135.9,159.4,59.6,242.2,90.5,http://performance.netlib.org/performance/html/spec.sunh21_1.cint92.6_95.notes.html#{Sun Microsystems; Inc. SPARCstation/server 20 Model HS21 125MHz HyperSPARC}
203,740,,PFU,S-4/20H model 150,165.9,181.2,141.9,154.9,289.5,86.3,328.3,115.9,http://performance.netlib.org/performance/html/spec.I00084.cint92.4_96.notes.html#{Fujitsu Limited S-4/20H model 150 150MHz hyperSPARC}
204,751,,Sun,SPARCstation/server 10 Model 51,64.2,0.0,62.0,61.6,100.9,41.0,92.3,47.9,http://performance.netlib.org/performance/html/spec.sun1051.cint92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 10 Model 51 50MHz SuperSPARC}
205,751,,Sun,SPARCstation/server 20 Model 51,68.4,73.7,62.7,75.3,101.9,41.5,88.5,58.1,http://performance.netlib.org/performance/html/spec.sun2051.cint92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 51 50MHz SuperSPARC}
206,751,,Sun,SPARCstation/server 20 Model 50,61.7,0.0,60.2,59.8,97.3,37.8,87.8,47.2,http://performance.netlib.org/performance/html/spec.suns2050.cint92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 50 50MHz SuperSPARC}
207,751,,Sun,SPARCstation/server 20 Model 50,65.4,69.2,60.2,72.7,98.2,37.9,84.7,56.7,http://performance.netlib.org/performance/html/spec.sun50sup.cint92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 50 50MHz SuperSPARC}
208,752,,Sun,SPARCstation/server 20 Model 61,76.7,0.0,74.4,73.8,119.6,49.5,108.4,57.6,http://performance.netlib.org/performance/html/spec.sun2061b.cint92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 61 60MHz SuperSPARC}
209,752,,Sun,SPARCstation/server 20 Model 61,82.3,88.9,74.7,90.0,122.2,50.0,108.4,69.8,http://performance.netlib.org/performance/html/spec.suns2061.cint92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 61 60MHz SuperSPARC}
210,753,,Sun,SPARCstation/server 20 Model 71,116.4,125.8,95.4,116.5,159.4,70.1,229.9,87.1,http://performance.netlib.org/performance/html/spec.sun271_1.cint92.3_95.notes.html#{Sun Microsystems; Inc. SPARCstation/server 20 Model 71 75MHz SuperSPARC II}
211,753,,Sun,SPARCstation/server 20 Model 71,118.7,124.2,99.1,109.1,171.9,74.3,227.6,89.1,http://performance.netlib.org/performance/html/spec.sun2.cint92.9_95.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 71 75MHz SuperSPARC II}
