spec_int2006_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,link
544,681,2010-03-01,Supermicro,Motherboard X8SIT-F,0,true,33.5,36.9,24.9,18.5,24.2,41.7,23.4,48.0,27.2,244.0,34.5,22.2,19.3,38.9,http://www.spec.org/cpu2006/results/res2010q2/cpu2006-20100330-10339.html
545,681,2010-04-01,Supermicro,Motherboard X8SIU-F,0,true,33.8,36.8,26.4,18.7,24.9,40.8,24.3,49.0,27.1,245.0,35.5,22.1,19.3,37.4,http://www.spec.org/cpu2006/results/res2010q2/cpu2006-20100524-11197.html
546,682,2010-05-01,Supermicro,Motherboard X8SIU-F,0,true,34.9,38.0,27.4,19.3,25.5,42.2,25.2,51.0,28.0,249.0,36.8,22.1,20.0,38.8,http://www.spec.org/cpu2006/results/res2010q3/cpu2006-20100913-13248.html
547,682,2010-06-01,Fujitsu,CELSIUS W380,0,true,34.3,37.6,25.7,19.2,25.4,42.1,24.2,49.4,27.7,244.0,36.0,22.2,19.9,39.4,http://www.spec.org/cpu2006/results/res2010q2/cpu2006-20100607-11415.html
548,682,2010-06-01,Supermicro,Motherboard X8SIT-F,0,true,34.9,38.0,27.4,19.4,25.4,42.3,24.9,51.2,28.0,249.0,36.9,22.5,20.0,38.9,http://www.spec.org/cpu2006/results/res2010q3/cpu2006-20100913-13240.html
549,682,2010-08-01,Fujitsu,PRIMERGY TX150 S7,0,true,34.8,37.6,27.3,19.2,26.2,41.7,25.0,50.5,27.8,250.0,37.2,22.3,19.9,38.4,http://www.spec.org/cpu2006/results/res2010q3/cpu2006-20100820-13040.html
550,686,2007-01-01,Hewlett-Packard Company,ProLiant BL20p G4,1333,false,15.7,16.4,19.3,13.8,10.9,18.5,17.5,11.2,16.2,15.2,28.0,12.3,12.7,19.7,http://www.spec.org/cpu2006/results/res2007q1/cpu2006-20070205-00408.html
551,686,2007-01-01,Hewlett-Packard Company,ProLiant BL460c,1333,false,15.4,16.0,19.2,12.9,10.6,17.7,17.4,11.2,16.2,15.1,27.6,11.7,12.5,19.5,http://www.spec.org/cpu2006/results/res2007q1/cpu2006-20070205-00349.html
552,686,2007-01-01,Hewlett-Packard Company,ProLiant BL480c,1333,false,15.4,16.1,19.1,13.7,10.7,17.7,17.3,11.1,16.2,15.0,27.8,11.6,12.4,19.6,http://www.spec.org/cpu2006/results/res2007q1/cpu2006-20070205-00401.html
553,686,2007-01-01,Hewlett-Packard Company,ProLiant DL360 G5,1333,false,15.5,16.2,19.2,13.8,10.8,17.8,17.4,11.2,16.2,15.1,28.0,11.7,12.5,19.7,http://www.spec.org/cpu2006/results/res2007q1/cpu2006-20070205-00406.html
