spec_int1995_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,099_go,124_m88ksim,126_gcc,129_compress,130_li,132_ijpeg,134_perl,147_vortex,link
460,706,1998-08-01,SNI; Paderborn / Germany,RM300 Model E60,13.3,14.2,13.5,13.1,13.3,15.2,12.9,12.6,14.2,12.2,http://www.spec.org/cpu95/results/res98q2/cpu95-980428-02726.html
461,722,1996-09-01,SNI; Paderborn / Germany,RM300-C40,4.7,4.75,4.99,4.61,4.78,4.63,4.52,4.31,6.21,3.89,http://www.spec.org/cpu95/results/res96q3/cpu95-960801-01126.html
462,711,1995-02-01,SNI; Paderborn / Germany,RM400 Model 630,3.79,3.95,4.73,3.05,3.82,4.5,3.57,3.75,3.86,3.29,http://www.spec.org/cpu95/results/res9509/p038.html
463,711,1996-02-01,SNI; Paderborn / Germany,RM400 Model C70,4.24,4.34,4.68,4.01,4.07,4.86,4.0,3.97,4.84,3.62,http://www.spec.org/cpu95/results/res9512/p044.html
464,711,1996-02-01,SNI; Paderborn / Germany,RM400 Model C70,3.72,3.92,4.63,2.98,3.78,3.96,3.84,3.63,3.74,3.42,http://www.spec.org/cpu95/results/res96q4/cpu95-960913-01315.html
465,702,1997-04-01,SNI; Paderborn / Germany,RM400 Model C80,9.47,9.63,9.71,8.84,9.47,9.78,9.51,8.93,10.1,9.5,http://www.spec.org/cpu95/results/res97q1/cpu95-970203-01618.html
466,705,1997-01-01,SNI; Paderborn / Germany,RM400 Model C90,10.7,10.7,11.1,9.81,10.7,11.1,10.7,9.97,11.7,10.9,http://www.spec.org/cpu95/results/res96q4/cpu95-961028-01409.html
467,706,1998-05-01,SNI; Paderborn / Germany,RM400 Model C95,13.6,14.6,13.7,13.3,13.9,15.5,13.1,12.9,14.3,12.6,http://www.spec.org/cpu95/results/res98q1/cpu95-980215-02446.html
468,712,1996-03-01,SNI; Paderborn / Germany,RM600 Model 420,4.26,4.39,5.79,3.65,4.28,4.16,4.76,4.14,4.6,3.19,http://www.spec.org/cpu95/results/res9512/p045.html
469,706,1998-04-01,SNI; Paderborn / Germany,RM600 Model E60,13.7,14.7,13.6,13.3,13.7,15.5,13.1,13.1,14.4,12.9,http://www.spec.org/cpu95/results/res97q4/cpu95-971108-02239.html
470,705,1997-03-01,SNI; Paderborn / Germany,RM600 Models E20 and E60,10.3,10.3,11.0,9.76,10.5,10.4,10.6,9.21,11.6,9.72,http://www.spec.org/cpu95/results/res96q4/cpu95-961028-01427.html
471,712,1996-02-01,SNI; Paderborn / Germany,RM600-420,4.91,5.07,5.38,4.88,4.89,5.13,5.09,4.3,5.84,4.02,http://www.spec.org/cpu95/results/res96q3/cpu95-960624-00962.html
472,710,1996-12-01,Pyramid San Jose; CA,Reliant RM1000,4.95,5.05,5.13,4.48,4.83,5.23,5.16,4.89,6.08,4.05,http://www.spec.org/cpu95/results/res96q3/cpu95-960624-00971.html
473,553,1998-02-01,SNI; Munich / Germany,SCENIC Celsius 1000,13.0,13.0,12.2,13.3,11.9,10.8,13.9,12.9,15.1,14.3,http://www.spec.org/cpu95/results/res98q1/cpu95-980202-02375.html
474,552,1997-10-01,SNI; Munich / Germany,SCENIC Celsius 1000,11.9,11.9,11.0,12.0,10.8,10.3,12.8,11.8,13.5,13.2,http://www.spec.org/cpu95/results/res97q3/cpu95-970915-02126.html
