spec_int2000_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,164_gzip,175_vpr,176_gcc,181_mcf,186_crafty,197_parser,252_eon,253_perlbmk,254_gap,255_vortex,256_bzip2,300_twolf,link
697,746,2000-09-01,SGI,,,false,328.0,353.0,229.0,395.0,318.0,646.0,334.0,284.0,359.0,246.0,220.0,298.0,336.0,450.0,http://www.spec.org/cpu2000/results/res2000q3/cpu2000-20000911-00232.html
698,783,2003-04-01,Sun Microsystems,Netra 20,,false,637.0,712.0,474.0,544.0,674.0,684.0,660.0,565.0,762.0,636.0,462.0,992.0,691.0,652.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030331-02006.html
699,776,2000-09-01,Sun Microsystems,Sun Blade 1000 Model 1600,,false,293.0,313.0,234.0,255.0,332.0,310.0,292.0,268.0,309.0,305.0,216.0,402.0,319.0,320.0,http://www.spec.org/cpu2000/results/res2000q3/cpu2000-20000911-00223.html
700,776,2000-09-01,Sun Microsystems,Sun Blade 1000 Model 1600,,false,292.0,311.0,233.0,255.0,323.0,315.0,294.0,268.0,305.0,303.0,217.0,397.0,319.0,324.0,http://www.spec.org/cpu2000/results/res2001q3/cpu2000-20010718-00761.html
701,778,2000-09-01,Sun Microsystems,Sun Blade 1000 Model 1750,,false,370.0,395.0,291.0,325.0,421.0,417.0,365.0,345.0,387.0,383.0,260.0,498.0,418.0,397.0,http://www.spec.org/cpu2000/results/res2000q3/cpu2000-20000911-00227.html
702,778,2000-09-01,Sun Microsystems,Sun Blade 1000 Model 1750,,false,377.0,396.0,296.0,321.0,411.0,441.0,407.0,355.0,378.0,378.0,263.0,496.0,444.0,400.0,http://www.spec.org/cpu2000/results/res2001q3/cpu2000-20010629-00737.html
703,778,2000-09-01,Sun Microsystems,Sun Blade 1000 Model 1750,,false,369.0,393.0,290.0,325.0,410.0,419.0,361.0,344.0,385.0,381.0,261.0,493.0,419.0,402.0,http://www.spec.org/cpu2000/results/res2001q3/cpu2000-20010718-00763.html
704,779,2000-12-01,Sun Microsystems,Sun Blade 1000 Model 1900,,false,438.0,467.0,349.0,383.0,500.0,474.0,439.0,412.0,465.0,457.0,300.0,581.0,500.0,473.0,http://www.spec.org/cpu2000/results/res2000q3/cpu2000-20000911-00219.html
705,779,2001-08-01,Sun Microsystems,Sun Blade 1000 Model 1900,,false,439.0,466.0,348.0,384.0,491.0,474.0,442.0,414.0,463.0,456.0,304.0,575.0,503.0,481.0,http://www.spec.org/cpu2000/results/res2001q3/cpu2000-20010718-00765.html
706,779,2001-12-01,Sun Microsystems,Sun Blade 1000 Model 900 Cu,,false,470.0,533.0,374.0,405.0,505.0,608.0,482.0,423.0,455.0,468.0,330.0,649.0,545.0,492.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011119-01122.html
707,768,2001-02-01,Sun Microsystems,Sun Blade 100,,false,165.0,174.0,167.0,129.0,166.0,110.0,175.0,155.0,209.0,229.0,167.0,238.0,156.0,125.0,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010306-00490.html
708,775,2002-08-01,Sun Microsystems,Sun Blade 150,,false,202.0,217.0,218.0,166.0,193.0,133.0,219.0,183.0,255.0,272.0,177.0,293.0,197.0,178.0,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020813-01557.html
