spec_fp1992_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,013_spice2g6,015_doduc,034_mdljdp2,039_wave5,047_tomcatv,048_ora,052_alvinn,056_ear,077_mdljsp2,078_swm256,089_su2cor,090_hydro2d,093_nasa7,094_fpppp,link
12,156,,Digital,Digital AlphaServer 400 4/233,182.4,194.3,87.1,187.9,193.2,123.3,111.8,228.3,434.5,730.7,111.3,69.4,206.4,258.0,159.5,217.5,http://performance.netlib.org/performance/html/spec.d44233f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 400 4/233 233MHz 21064A}
13,156,,Digital,AlphaStation 200 4/233,174.6,183.9,87.1,177.1,196.9,129.4,112.8,206.7,417.9,608.6,92.8,68.2,202.5,246.8,168.0,197.4,http://performance.netlib.org/performance/html/spec.dec2233.cfp92.12_94.notes.html#{Digital Equipment Corporation AlphaStation 200 4/233 233MHz 21064A}
14,156,,Digital,AlphaStation 400 4/233,168.1,181.2,84.2,160.3,194.8,123.3,111.8,168.3,413.4,604.3,91.5,67.1,199.4,243.3,164.4,192.9,http://performance.netlib.org/performance/html/spec.dec4233.cfp92.12_94.notes.html#{Digital Equipment Corporation AlphaStation 400 4/233 233MHz 21064A}
15,156,,Digital,AlphaServer 2100 4/233,192.3,215.0,105.6,175.5,199.2,120.5,133.8,177.1,460.5,718.3,119.2,73.9,232.4,267.6,240.0,205.8,http://performance.netlib.org/performance/html/spec.dec21433.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 2100 4/233 233MHz 21064A}
16,157,,Digital,Digital AlphaServer 1000 4/266,247.3,263.8,137.1,218.8,217.5,147.4,243.1,259.4,496.1,809.5,125.9,128.4,356.4,323.9,291.2,242.1,http://performance.netlib.org/performance/html/spec.d14266f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 1000 4/266 266MHz 21064A}
17,157,,Digital,AlphaStation 250 4/266,246.8,262.5,134.4,200.0,225.1,158.8,238.7,220.8,502.6,796.9,134.0,121.3,360.3,320.1,321.8,253.4,http://performance.netlib.org/performance/html/spec.dec25466.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 250 4/266 266MHz 21064A}
18,157,,Digital,Digital AlphaServer 1000A 4/266,247.3,263.8,137.1,218.8,217.5,147.4,243.1,259.4,496.1,809.5,125.9,128.4,356.4,323.9,291.2,242.1,http://performance.netlib.org/performance/html/spec.F00404.cfp92.4_96.notes.html#{Digital Equipment Corporation Digital AlphaServer 1000A 4/266 266MHz 21064A}
19,158,,Digital,DEC 3000 Model 900,244.6,264.1,139.5,209.0,228.0,158.1,267.7,256.7,502.6,702.5,108.4,132.8,355.4,318.6,289.2,227.7,http://performance.netlib.org/performance/html/spec.dec3-900.cfp92.9_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 900 275 MHz 21064A}
20,158,,Digital,DEC 7000 Model 710,265.8,292.6,142.4,202.2,229.4,163.0,434.4,256.7,505.9,708.3,108.8,233.9,360.3,325.4,297.3,230.0,http://performance.netlib.org/performance/html/spec.dec7-710.cfp92.9_94.notes.html#{Digital Equipment Corporation DEC 7000 Model 710 275 MHz 21064A}
21,158,,Digital,AlphaPC 64,262.9,273.3,145.2,229.6,229.4,163.0,240.9,269.8,537.8,830.6,133.5,125.6,383.9,347.7,341.5,272.2,http://performance.netlib.org/performance/html/spec.dec64f.cfp92.9_95.notes.html#{Digital Equipment Corporation AlphaPC 64 275MHz 21064A}
22,160,,Digital,Digital AXPvme230,112.0,117.1,57.0,118.5,164.9,69.7,68.7,222.8,242.6,329.9,100.9,39.8,112.1,156.6,82.4,89.1,http://performance.netlib.org/performance/html/spec.dvme230f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital AXPvme230 231MHz 21066A}
