spec_fp1995_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,101_tomcatv,102_swim,103_su2cor,104_hydro2d,107_mgrid,110_applu,125_turb3d,141_apsi,145_fpppp,146_wave5,link
316,552,1997-08-01,Intel Corporation,Intel AL440LX motherboard (300MHz; L2 ECC; NT),7.9,8.48,11.4,16.7,5.12,4.76,5.68,5.26,7.78,10.5,9.31,8.94,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02521.html
317,552,1997-08-01,Intel,Intel AL440LX motherboard (300MHz; L2 w/ECC),7.45,8.15,10.7,15.9,4.93,4.57,4.17,5.5,7.97,9.14,9.29,8.8,http://www.spec.org/cpu95/results/res97q4/cpu95-970916-02136.html
318,553,1998-01-01,Intel Corporation,Intel AL440LX motherboard (333MHz; L2 ECC; NT),8.6,9.25,11.3,17.3,5.41,4.89,6.08,5.62,8.4,11.3,14.1,9.33,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02523.html
319,553,1998-01-01,Intel,Intel AL440LX motherboard (333MHz; L2 w/ECC),8.32,9.14,11.4,17.1,5.25,4.98,4.55,6.0,8.7,9.98,14.0,9.37,http://www.spec.org/cpu95/results/res98q1/cpu95-980126-02343.html
320,552,1997-11-01,Intel Corporation,Intel DK440LX motherboard (300MHz; L2 ECC; NT),7.89,8.46,11.4,16.7,5.16,4.75,5.67,5.25,7.77,10.5,9.31,8.9,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02541.html
321,553,1997-11-01,Intel Corporation,Intel DK440LX motherboard (333MHz; L2 ECC; NT),8.58,9.25,11.3,17.3,5.29,4.88,6.07,5.62,8.4,11.3,14.1,9.33,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02543.html
322,502,1997-06-01,Intel,Intel LT430TX Motherboard (133MHz),2.54,3.5,3.75,4.26,1.72,2.19,1.29,1.34,2.69,2.78,4.21,3.44,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01956.html
323,503,1997-06-01,Intel,Intel LT430TX Motherboard (150MHz),2.57,3.53,3.52,3.96,1.67,2.21,1.41,1.32,2.87,2.92,4.77,3.27,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01954.html
324,504,1997-06-01,Intel,Intel LT430TX Motherboard (166MHz),2.86,3.92,3.91,4.39,1.86,2.46,1.56,1.47,3.19,3.24,5.3,3.65,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01960.html
325,504,1997-06-01,Intel,Intel LT430TX Motherboard (166MHz; Intel MMX technology),3.58,4.34,6.7,7.47,2.71,2.51,1.6,1.76,3.55,3.7,5.27,5.23,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01967.html
326,505,1997-06-01,Intel,Intel LT430TX Motherboard (200MHz),3.14,4.32,4.1,4.59,2.06,2.7,1.84,1.63,3.7,3.69,5.67,3.86,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01959.html
327,505,1997-06-01,Intel,Intel LT430TX Motherboard (200MHz; Intel MMX technology),3.98,4.87,7.28,8.15,2.93,2.77,1.89,1.96,4.18,4.3,5.38,5.73,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01961.html
328,506,1997-06-01,Intel,Intel LT430TX Motherboard (233MHz; Intel MMX technology),4.23,5.21,7.36,8.29,3.05,2.95,2.15,2.01,4.69,4.81,5.65,6.03,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01966.html
329,502,1997-06-01,Intel Corporation,Intel LT430TX motherboard (133MHz; NT),2.78,3.53,3.63,4.27,1.83,2.24,2.22,1.3,2.79,3.1,4.85,3.56,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02525.html
330,503,1997-06-01,Intel Corporation,Intel LT430TX motherboard (150MHz; NT),2.76,3.58,3.4,3.98,1.77,2.27,2.38,1.29,2.98,3.21,4.8,3.37,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02527.html
331,504,1997-06-01,Intel Corporation,Intel LT430TX motherboard (166MHz; MMX technology; NT),3.88,4.38,6.85,7.66,2.84,2.61,2.63,1.67,3.68,4.28,5.28,5.36,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02532.html
332,504,1997-06-01,Intel Corporation,Intel LT430TX motherboard (166MHz; NT),3.07,3.97,3.78,4.42,1.98,2.52,2.64,1.44,3.31,3.55,5.33,3.77,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02529.html
333,505,1997-06-01,Intel Corporation,Intel LT430TX motherboard (200MHz; Intel MMX technology; Win/NT),4.28,4.83,7.34,8.16,3.04,2.85,3.03,1.92,4.28,4.97,5.49,5.91,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02535.html
334,505,1997-06-01,Intel Corporation,Intel LT430TX motherboard (200MHz; NT),3.37,4.39,3.95,4.61,2.17,2.76,3.03,1.59,3.82,4.0,5.84,4.02,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02531.html
